seccion	gls_seccion	division	gls_division	clase	gls_clase
C	Industrias manufactureras	15	FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS.	1520	Fabricación de calzado
C	Industrias manufactureras	16	PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES, FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES.	1610	Aserrado y acepilladura de madera
C	Industrias manufactureras	16	PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES, FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES.	1621	Fabricación de hojas de madera para enchapado y tableros a base de madera
C	Industrias manufactureras	16	PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES, FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES.	1622	Fabricación de partes y piezas de carpintería para edificios y construcciones
C	Industrias manufactureras	16	PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES, FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES.	1623	Fabricación de recipientes de madera
C	Industrias manufactureras	16	PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES, FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES.	1629	Fabricación de otros productos de madera, fabricación de artículos de corcho, paja y materiales trenzables
C	Industrias manufactureras	17	FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL.	1701	Fabricación de pasta de madera, papel y cartón
C	Industrias manufactureras	17	FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL.	1702	Fabricación de papel y cartón ondulado y de envases de papel y cartón
C	Industrias manufactureras	17	FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL.	1709	Fabricación de otros artículos de papel y cartón
C	Industrias manufactureras	18	IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES.	1811	Impresión
C	Industrias manufactureras	18	IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES.	1812	Actividades de servicios relacionadas con la impresión
C	Industrias manufactureras	18	IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES.	1820	Reproducción de grabaciones
C	Industrias manufactureras	19	FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO.	1910	Fabricación de productos de hornos de coque
C	Industrias manufactureras	19	FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO.	1920	Fabricación de productos de la refinación del petróleo
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2011	Fabricación de sustancias químicas básicas
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2012	Fabricación de abonos y compuestos de nitrógeno
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2013	Fabricación de plásticos y caucho sintético en formas primarias
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2021	Fabricación de plaguicidas y otros productos químicos de uso agropecuario
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2022	Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2023	Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2029	Fabricación de otros productos químicos n.c.p.
