Seccion	Gls_Seccion	Grupo	Gls_Grupo	Clase	Gls_Clase
C	Industrias manufactureras	201	Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias	2013	Fabricación de plásticos y caucho sintético en formas primarias
C	Industrias manufactureras	202	Fabricación de otros productos químicos	2021	Fabricación de plaguicidas y otros productos químicos de uso agropecuario
C	Industrias manufactureras	202	Fabricación de otros productos químicos	2022	Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas
C	Industrias manufactureras	202	Fabricación de otros productos químicos	2023	Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador
C	Industrias manufactureras	202	Fabricación de otros productos químicos	2029	Fabricación de otros productos químicos n.c.p.
C	Industrias manufactureras	203	Fabricación de fibras artificiales	2030	Fabricación de fibras artificiales
C	Industrias manufactureras	210	Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico	2100	Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico
C	Industrias manufactureras	221	Fabricación de productos de caucho	2211	Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho
C	Industrias manufactureras	221	Fabricación de productos de caucho	2219	Fabricación de otros productos de caucho
C	Industrias manufactureras	222	Fabricación de productos de plástico	2220	Fabricación de productos de plástico
C	Industrias manufactureras	231	Fabricación de vidrio y productos de vidrio	2310	Fabricación de vidrio y productos de vidrio
C	Industrias manufactureras	239	Fabricación de productos minerales no metálicos n.c.p.	2391	Fabricación de productos refractarios
C	Industrias manufactureras	239	Fabricación de productos minerales no metálicos n.c.p.	2392	Fabricación de materiales de construcción de arcilla
C	Industrias manufactureras	239	Fabricación de productos minerales no metálicos n.c.p.	2393	Fabricación de otros productos de porcelana y de cerámica
C	Industrias manufactureras	239	Fabricación de productos minerales no metálicos n.c.p.	2394	Fabricación de cemento, cal y yeso
C	Industrias manufactureras	239	Fabricación de productos minerales no metálicos n.c.p.	2395	Fabricación de artículos de hormigón, cemento y yeso
C	Industrias manufactureras	239	Fabricación de productos minerales no metálicos n.c.p.	2396	Corte, talla y acabado de la piedra
C	Industrias manufactureras	239	Fabricación de productos minerales no metálicos n.c.p.	2399	Fabricación de otros productos minerales no metálicos n.c.p.
C	Industrias manufactureras	241	Industrias básicas de hierro y acero	2410	Industrias básicas de hierro y acero
C	Industrias manufactureras	242	Fabricación de productos primarios de metales preciosos y otros metales no ferrosos	2420	Fabricación de productos primarios de metales preciosos y otros metales no ferrosos
C	Industrias manufactureras	243	Fundición de metales	2431	Fundición de hierro y acero
C	Industrias manufactureras	243	Fundición de metales	2432	Fundición de metales no ferrosos
C	Industrias manufactureras	251	Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor	2511	Fabricación de productos metálicos para uso estructural
C	Industrias manufactureras	251	Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor	2512	Fabricación de tanques, depósitos y recipientes de metal
C	Industrias manufactureras	251	Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor	2513	Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central
C	Industrias manufactureras	252	Fabricación de armas y municiones	2520	Fabricación de armas y municiones
C	Industrias manufactureras	259	Fabricación de otros productos elaborados de metal; actividades de servicios de trabajo de metales	2591	Forja, prensado, estampado y laminado de metales; pulvimetalurgia
C	Industrias manufactureras	259	Fabricación de otros productos elaborados de metal; actividades de servicios de trabajo de metales	2592	Tratamiento y revestimiento de metales; maquinado
C	Industrias manufactureras	259	Fabricación de otros productos elaborados de metal; actividades de servicios de trabajo de metales	2593	Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería
C	Industrias manufactureras	259	Fabricación de otros productos elaborados de metal; actividades de servicios de trabajo de metales	2599	Fabricación de otros productos elaborados de metal n.c.p.
C	Industrias manufactureras	261	Fabricación de componentes y tableros electrónicos	2610	Fabricación de componentes y tableros electrónicos
C	Industrias manufactureras	262	Fabricación de computadores y equipo periférico	2620	Fabricación de computadores y equipo periférico
C	Industrias manufactureras	263	Fabricación de equipo de comunicaciones	2630	Fabricación de equipo de comunicaciones
C	Industrias manufactureras	264	Fabricación de aparatos electrónicos de consumo	2640	Fabricación de aparatos electrónicos de consumo
C	Industrias manufactureras	265	Fabricación de equipo de medición, prueba, navegación y control y de relojes	2651	Fabricación de equipo de medición, prueba, navegación y control
C	Industrias manufactureras	265	Fabricación de equipo de medición, prueba, navegación y control y de relojes	2652	Fabricación de relojes
C	Industrias manufactureras	266	Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico	2660	Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
C	Industrias manufactureras	267	Fabricación de instrumentos ópticos y equipo fotográfico	2670	Fabricación de instrumentos ópticos y equipo fotográfico
C	Industrias manufactureras	268	Fabricación de soportes magnéticos y ópticos	2680	Fabricación de soportes magnéticos y ópticos
